species,te_level,composition_mode,feature,closed_proportion,clr_value
kanawha,superfamily,classified_conditional,DIRS,0.08136747321058224,3.3041852720746228
kanawha,superfamily,classified_conditional,EnSpm,0.00028269341213651045,-2.358182646995038
kanawha,superfamily,classified_conditional,Gypsy,0.5645130816182686,5.241173228067557
kanawha,superfamily,classified_conditional,Helitron,0.002580396781360638,-0.1468471507342004
kanawha,superfamily,classified_conditional,IS3EU,1.6185148780054315e-05,-5.21845152824879
kanawha,superfamily,classified_conditional,Jockey,0.0013585835958969045,-0.7883476456358594
kanawha,superfamily,classified_conditional,Kolobok,0.00016837200325816798,-2.876369771499391
kanawha,superfamily,classified_conditional,L1,0.03627301791684934,2.4962838277364887
kanawha,superfamily,classified_conditional,L2,0.0950767472369242,3.459894102036441
kanawha,superfamily,classified_conditional,MITE,0.0023865227739352283,-0.22495292883181062
kanawha,superfamily,classified_conditional,MULE,9.134881545051421e-05,-3.4878602924639655
kanawha,superfamily,classified_conditional,Maverick,0.00646802023909479,0.7720797417535916
kanawha,superfamily,classified_conditional,Mutator,0.02297804622652509,2.039748919134249
kanawha,superfamily,classified_conditional,P,8.038033569923481e-05,-3.6157760426354013
kanawha,superfamily,classified_conditional,PIF-Harbinger,0.0481905015213719,2.780371608696844
kanawha,superfamily,classified_conditional,Penelope,0.00010334266261974885,-3.3644953198975553
kanawha,superfamily,classified_conditional,PiggyBac,0.0007639962581968781,-1.3639827165437977
kanawha,superfamily,classified_conditional,Tc1-mariner,0.013349418828549064,1.4966825213885109
kanawha,superfamily,classified_conditional,hAT,0.10222585783771745,3.532394328810054
kanawha,superfamily,classified_conditional,tRNA,0.0008826668162359897,-1.2195978102098346
lycos,superfamily,classified_conditional,Academ,0.0003305783239387741,-2.2033678663919476
lycos,superfamily,classified_conditional,CACTA,0.009521166831231923,1.1570612027747407
lycos,superfamily,classified_conditional,Copia,0.007342867305796786,0.8972732026390053
lycos,superfamily,classified_conditional,Cyrypton,0.0017032171091844678,-0.5639373249597677
lycos,superfamily,classified_conditional,DIRS,0.07516630198482747,3.2232468137959893
lycos,superfamily,classified_conditional,EnSpm,0.0004433682997047938,-1.9098106828538404
lycos,superfamily,classified_conditional,Gypsy,0.5576092805648053,5.227202298251622
lycos,superfamily,classified_conditional,Helitron,0.0017794347365026604,-0.5201604547163772
lycos,superfamily,classified_conditional,IS3EU,2.0315045595433863e-05,-4.99284970994669
lycos,superfamily,classified_conditional,Jockey,0.0009791048854652534,-1.1175727117072807
lycos,superfamily,classified_conditional,Kolobok,0.0001717273066849844,-2.858303691360688
lycos,superfamily,classified_conditional,L1,0.0557565701303029,2.9245390484436107
