analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,2,cell_collider,1,5,5.429681998031438,0.066215480496684,18.76301533136477,5.025876738022072,0.0810297936572435,0.0683345507004795,True,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,3,iod_bridge,1,5,6.935474560625595,0.0311875194971088,20.26880789395893,6.531669300616231,0.0381650673011205,0.0321856024650323,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,4,nucleus_bridge,1,5,7.545831584247999,0.0229849461599978,20.87916491758133,7.142026324238634,0.0281273416819914,0.0237205251239824,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,5,iod_cell_only,2,4,12.365156558657034,0.0148327179048722,22.47041971655177,8.733281123209073,0.0126938131011821,0.0107050255936027,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,6,nucleus_cell_only,2,4,12.975513582279437,0.0113960607412842,23.080776740174173,9.343638146831475,0.0093552361778176,0.0078895160909853,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,7,iod_collider,1,5,9.752256572975089,0.0076264845032479,23.08558990630842,9.348451312965723,0.0093327490942136,0.0078705521434631,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,8,nucleus_collider,1,5,10.61541789323458,0.0049532619154168,23.94875122656791,10.211612633225212,0.0060614494967927,0.0051117793747454,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,17.550892453860172,0.0015101104694021,27.656155611754908,13.91901701841221,0.0009495631614219624,0.0008007915245591419,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0006,focal_primary,lambda,,,24,10,independent,3,3,25.797356464241105,0.0002428480601848193,32.99735646424111,19.26021787089841,6.5719890204711e-05,5.542330748391722e-05,False,False,False,1,0,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.3486289470713156,0.840032688067662,13.681962280404647,0.0,1.0,0.688525292405043,True,True,True,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,2,cell_collider,1,5,3.366661355529849,0.1857542569965731,16.699994688863182,3.0180324084585344,0.2211274152007892,0.1522518182098947,True,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,3,iod_bridge,1,5,4.924813344394445,0.0852295842704418,18.258146677727776,4.576184397323129,0.1014598425526708,0.0698576677609472,True,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,4,iod_cell_only,2,4,8.291474699924294,0.0814660689721906,18.39673785781903,4.714775577414383,0.0946671911954682,0.0651807554990238,True,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,5,iod_collider,1,5,7.200168910767877,0.0273214149092659,20.533502244101207,6.85153996369656,0.0325242282798706,0.0223937537866463,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,6,nucleus_bridge,1,5,14.002002438637309,0.0009109694286153492,27.33533577197064,13.653373491565992,0.0010844452145199,0.0007466679584245989,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,7,nucleus_cell_only,2,4,17.368663794167155,0.0016387482580388,27.47392695206189,13.791964671657244,0.0010118425170103,0.0006966791648924243,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,8,nucleus_collider,1,5,16.392251829616548,0.00027571966503858736,29.72558516294988,16.043622882545232,0.0003282249238096266,0.0002259911616406461,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,9,iod_nucleus_only,2,4,21.31706517401099,0.0002739693650609665,31.422328331905728,17.74036605150108,0.00014051686711568368,9.674941701866667e-05,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0007,focal_primary,lambda,,,24,10,independent,3,3,26.959082095914276,0.00014738586284801514,34.15908209591427,20.477119815509624,3.576431648906702e-05,2.462463646830137e-05,False,False,False,2,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,1,cell_bridge,1,5,0.4833069715544958,0.7853282578201295,13.816640304887828,0.0,1.0,0.8634711426615267,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,2,cell_collider,1,5,4.6697338641548205,0.096823365753408,18.003067197488154,4.186426892600325,0.1232903117763327,0.1064576263886059,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
measurement_bootstrap,measurement_0008,focal_primary,lambda,,,24,3,iod_bridge,1,5,8.624746329661397,0.0134017073651703,21.958079662994727,8.141439358106899,0.0170651026901413,0.0147352237194926,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
