analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,14.09856712799898,0.0008680306229764678,27.627978892704867,13.836045398272985,0.0009897851098676356,0.000903989773559214,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,20.20089795779423,0.0004557968177545391,30.42312018001645,16.631186685584566,0.00024467167632314654,0.0002234633468120097,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,18.8854110098766,7.926566453919648e-05,32.41482277458249,18.62288928015061,9.038387864203269e-05,8.254933436808441e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,26.19590886186712,2.889260956639994e-05,36.41813108408934,22.62619758965746,1.2211910709393136e-05,1.115337287543753e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,brimleyorum,focal_primary_minus_one,lambda,,,23,10,independent,3,3,36.9628051702119,1.79053201920798e-06,44.22596306494874,30.434029570516863,2.462263049053996e-07,2.2488321899035305e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.0906269965963365,0.955697825222865,13.62003876130222,0.0,1.0,0.9009871306226952,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,2,cell_collider,1,5,6.116102220511754,0.0469791632699495,19.64551398521764,6.02547522391542,0.0491569218115508,0.0442897539332333,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,3,iod_bridge,1,5,6.349369757698234,0.0418072763664225,19.87878152240412,6.258742761101898,0.043745287749999,0.0394139412881357,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,12.465471978209989,0.0142056060108378,22.68769420043221,9.067655439129991,0.0107394895435441,0.0096761418681903,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,11.06238742960528,0.0039612576537623,24.591799194311164,10.971760433008944,0.0041448850768689,0.0037344881121689,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,13.025964526716336,0.0014840472971378,26.55537629142222,12.93533753012,0.0015528415551136,0.0013990902570535,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,7,nucleus_cell_only,2,4,19.142066747228093,0.0007370050499663217,29.364288969450318,15.744250208148094,0.0003812233614562131,0.000343477342564772,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,8,nucleus_collider,1,5,17.815902351868925,0.00013530877406364716,31.34531411657481,17.725275355272586,0.00014158112584607908,0.00012756277232638948,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,9,iod_nucleus_only,2,4,24.16527210956716,7.400705023741239e-05,34.387494331789384,20.767455570487165,3.093173788253535e-05,2.7869097759958847e-05,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,campi,focal_primary_minus_one,lambda,,,23,10,independent,3,3,34.99439200198596,4.320296984827721e-06,42.2575498967228,28.63751113542058,6.045656517698793e-07,5.44705871861183e-07,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,1,cell_bridge,1,5,0.0602373858045761,0.9703303553871692,13.58964915051046,0.0,1.0,0.908117663963346,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,2,cell_collider,1,5,6.1305737281034505,0.0466404604737775,19.659985492809334,6.070336342298873,0.0480665787840551,0.0436501092400863,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,3,iod_bridge,1,5,6.5634259978148455,0.037563854820392,20.09283776252073,6.50318861201027,0.03871243913152,0.0351554497904392,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,4,iod_cell_only,2,4,12.693999725918296,0.0128719105954971,22.91622194814052,9.326572797630057,0.0094354028958071,0.0085684560362933,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,5,iod_collider,1,5,11.288037763215904,0.0035386185022462,24.817449527921788,11.227800377411327,0.003646818305333,0.0033117401203378,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
leave_one_species_out,folkertsi,focal_primary_minus_one,lambda,,,23,6,nucleus_bridge,1,5,13.925566348847818,0.0009464587457004292,27.4549781135537,13.86532896304324,0.0009753984717119984,0.000885776581564518,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
