analysis_type,replicate_id,tree_id,evolutionary_model,generating_class,residual_regime,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,globally_supported,delta_competitive,admissible_competitive,stored_warning_count,runtime_warning_count,path_trait_definition
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,8,iod_nucleus_only,2,4,14.566601738602738,0.0056899186689181,25.64352481552581,8.797084283010825,0.0122952515805102,0.005330814884872,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,9,iod_collider,1,5,11.957231545442516,0.0025323291864076,26.95723154544252,10.110791012927528,0.006374844971281,0.0027639221726479,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_004,published_bootstrap_004,lambda,,,18,10,independent,3,3,24.465902866328918,0.0004286010114485928,32.180188580614626,15.333748048099636,0.0004680787420060197,0.00020294347853224876,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,1,cell_bridge,1,5,1.846440538094296,0.397237766683207,16.846440538094296,0.0,1.0,0.4335669623060345,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,2,nucleus_bridge,1,5,2.438963148173743,0.2953832615735727,17.43896314817374,0.5925226100794454,0.7435930980075671,0.3223974006948742,True,True,True,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,3,nucleus_cell_only,2,4,8.4536262610337,0.0763054143223417,19.530549337956774,2.684108799862482,0.2613082850461515,0.1132946393728593,True,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,4,cell_collider,1,5,6.014663112859957,0.0494233864728521,21.01466311285996,4.168222574765661,0.1244176425759306,0.0539433793489241,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,5,nucleus_collider,1,5,6.494008221283728,0.0388905452483353,21.49400822128373,4.647567683189433,0.0979024365509287,0.0424472620177454,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,6,iod_bridge,1,5,8.072593519766302,0.0176627608962746,23.0725935197663,6.226152981672005,0.0444639517630773,0.0192781004980394,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,7,iod_cell_only,2,4,14.08725663262626,0.0070217131532235,25.164179709549337,8.317739171455042,0.0156252109019256,0.006774575226139,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,8,iod_nucleus_only,2,4,14.56660174105003,0.0056899186627962,25.64352481797311,8.797084279878813,0.0122952515997646,0.0053308148868983,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
published_bootstrap_tree_sensitivity,published_bootstrap_005,published_bootstrap_005,lambda,,,18,9,iod_collider,1,5,11.957231549559868,0.0025323291811943,26.957231549559868,10.110791011465572,0.0063748449759409,0.0027639221713905,False,False,False,6,1,relative_nuclear_iod_index; not_absolute_genome_size
