bootstrap_replicate,species,tree_tip,nucleus_area_um2,cell_area_um2,relative_iod_index
134,D. mavrokoilius,mavrokoilius,43.1928,270.7488,0.8968379590464548
134,D. monticola,monticola,39.312,260.3808,0.9831117469437652
134,D. ochrophaeus,ochrophaeus,52.1352,274.1472,0.8029876369193154
134,D. ocoee,ocoee,42.9336,293.1984,1.0481181259168706
134,D. orestes,orestes,46.0224,255.3408,0.7672010513447434
134,D. perlapsus,perlapsus,43.38,290.628,0.9098481839853301
134,D. tilleyi,tilleyi,42.5952,265.0104,0.9947318942542787
134,D. valtos,valtos,48.9888,314.7552,1.313016034229829
134,D. welteri,welteri,48.636,301.356,0.945742674205379
134,D. wrighti,wrighti,48.6432,201.6216,0.9088331711491443
135,D. aeneus,aeneus,36.8208,211.4784,0.5669177518337408
135,D. amphileucus,amphileucus,43.5672,318.7008,1.0389095904645476
135,D. anicetus,anicetus,40.5648,245.1816,0.8974847842298289
135,D. apalachicolae,apalachicolae,46.7568,298.4688,0.9965078722493889
