bootstrap_replicate,species,tree_tip,genome_size_pg,nucleus_area_um2,cell_area_um2
142,D. perlapsus,perlapsus,15.97169007,41.95440000,294.07680000
142,D. tilleyi,tilleyi,18.56920842,41.87520000,262.69920000
142,D. valtos,valtos,25.48925259,50.24880000,317.33280000
142,D. welteri,welteri,15.97865629,48.86640000,310.21200000
142,D. wrighti,wrighti,16.27443800,47.28960000,203.67360000
143,D. aeneus,aeneus,8.45622339,37.58400000,210.41280000
143,D. amphileucus,amphileucus,16.31455706,44.12880000,318.78000000
143,D. anicetus,anicetus,14.25917285,40.50000000,243.87840000
143,D. apalachicolae,apalachicolae,15.64712297,46.36800000,296.67600000
143,D. auriculatus,auriculatus,16.57715430,49.66560000,314.66880000
143,D. bairdi,bairdi,17.82982698,43.26480000,306.60480000
143,D. brimleyorum,brimleyorum,14.99500711,45.18000000,330.63840000
143,D. campi,campi,13.54781681,37.44720000,258.58800000
143,D. folkertsi,folkertsi,15.85105782,45.26640000,269.30160000
143,D. fuscus,fuscus,16.36000000,46.88640000,272.93760000
143,D. gvnigeusgwotli,gvnigeusgwotli,14.49222650,46.08000000,272.93760000
143,D. intermedius,intermedius,15.89836127,48.85200000,325.00080000
143,D. kanawha,kanawha,16.13273822,40.98240000,288.73440000
143,D. marmoratus,marmoratus,16.95898856,49.32000000,276.03360000
143,D. mavrokoilius,mavrokoilius,14.60652681,40.99680000,268.64640000
143,D. monticola,monticola,15.94542628,39.47040000,258.84720000
143,D. ochrophaeus,ochrophaeus,12.96117312,51.58800000,274.14720000
143,D. ocoee,ocoee,15.49119357,42.53760000,292.52160000
143,D. orestes,orestes,12.32081481,45.89280000,255.34080000
143,D. perlapsus,perlapsus,12.38598838,44.48880000,294.13440000
143,D. tilleyi,tilleyi,15.45734308,42.96240000,265.88880000
143,D. valtos,valtos,21.29213736,50.78880000,315.58320000
143,D. welteri,welteri,15.06384376,48.63600000,305.16480000
143,D. wrighti,wrighti,14.44908737,48.64320000,190.18800000
144,D. aeneus,aeneus,10.40165325,38.75040000,218.88000000
144,D. amphileucus,amphileucus,19.79051486,44.40960000,318.51360000
144,D. anicetus,anicetus,16.39147040,41.45040000,246.06720000
144,D. apalachicolae,apalachicolae,16.02065325,45.63360000,303.19200000
144,D. auriculatus,auriculatus,17.95168824,48.34080000,316.90080000
144,D. bairdi,bairdi,20.18548180,44.62560000,305.36640000
144,D. brimleyorum,brimleyorum,18.58597532,45.16560000,331.12080000
144,D. campi,campi,16.11141248,36.70560000,257.96880000
144,D. folkertsi,folkertsi,18.56352070,44.61840000,267.01920000
144,D. fuscus,fuscus,16.36000000,46.94400000,272.31120000
144,D. gvnigeusgwotli,gvnigeusgwotli,15.88155878,46.72080000,271.33200000
144,D. intermedius,intermedius,19.94739164,49.14000000,326.93760000
144,D. kanawha,kanawha,16.78097800,42.40080000,288.61920000
144,D. marmoratus,marmoratus,19.48656932,46.64160000,276.07680000
144,D. mavrokoilius,mavrokoilius,16.51469946,41.83920000,268.48800000
144,D. monticola,monticola,18.20948996,39.60000000,258.92640000
144,D. ochrophaeus,ochrophaeus,14.83597022,52.61760000,269.97840000
144,D. ocoee,ocoee,18.33523830,43.14240000,296.18640000
144,D. orestes,orestes,14.17110420,46.85760000,256.78080000
144,D. perlapsus,perlapsus,15.25112502,42.30000000,291.85920000
144,D. tilleyi,tilleyi,17.77246593,41.87520000,267.50160000
144,D. valtos,valtos,24.83377583,49.60800000,311.79600000
144,D. welteri,welteri,16.27413751,48.88800000,310.21200000
144,D. wrighti,wrighti,15.92009710,40.47840000,209.13120000
145,D. aeneus,aeneus,9.93500351,39.11760000,209.11680000
145,D. amphileucus,amphileucus,17.25973567,44.09280000,318.54240000
145,D. anicetus,anicetus,14.97535199,40.88160000,244.13760000
145,D. apalachicolae,apalachicolae,14.36467223,46.38240000,299.54880000
145,D. auriculatus,auriculatus,17.19293705,50.14080000,316.65600000
145,D. bairdi,bairdi,18.11848710,44.89920000,307.26720000
145,D. brimleyorum,brimleyorum,15.59110999,45.69840000,327.71520000
145,D. campi,campi,14.43380759,36.33840000,249.86880000
145,D. folkertsi,folkertsi,16.65246183,45.26640000,269.20800000
145,D. fuscus,fuscus,16.36000000,45.43200000,273.14640000
145,D. gvnigeusgwotli,gvnigeusgwotli,15.27238862,46.89360000,272.40480000
145,D. intermedius,intermedius,18.21703412,49.00320000,322.57440000
145,D. kanawha,kanawha,19.58346253,40.94640000,288.75600000
145,D. marmoratus,marmoratus,17.59821163,47.26080000,274.21920000
145,D. mavrokoilius,mavrokoilius,14.20338784,40.43520000,269.35200000
145,D. monticola,monticola,15.79292548,39.60000000,263.36160000
145,D. ochrophaeus,ochrophaeus,13.19051002,51.14880000,267.72480000
145,D. ocoee,ocoee,15.83050084,43.87680000,295.67520000
145,D. orestes,orestes,13.18317254,46.02240000,255.73680000
145,D. perlapsus,perlapsus,13.79299235,44.20080000,299.47680000
145,D. tilleyi,tilleyi,16.24543630,43.07760000,263.58480000
145,D. valtos,valtos,22.05170379,49.60800000,316.93680000
145,D. welteri,welteri,15.04447641,48.76560000,302.84640000
145,D. wrighti,wrighti,14.71475716,38.67840000,215.10720000
146,D. aeneus,aeneus,8.67513219,38.98080000,209.43360000
146,D. amphileucus,amphileucus,15.64497931,44.45280000,319.52160000
146,D. anicetus,anicetus,14.62830434,40.08960000,248.16960000
146,D. apalachicolae,apalachicolae,15.20879790,45.56880000,296.71200000
146,D. auriculatus,auriculatus,16.97511016,47.90160000,316.88640000
146,D. bairdi,bairdi,18.41487892,44.00640000,307.82880000
146,D. brimleyorum,brimleyorum,16.01909052,46.26000000,325.26720000
146,D. campi,campi,14.01734131,37.39680000,258.30720000
146,D. folkertsi,folkertsi,16.27673892,47.43360000,268.97040000
146,D. fuscus,fuscus,16.36000000,47.00880000,272.67840000
146,D. gvnigeusgwotli,gvnigeusgwotli,14.95536789,47.01600000,271.80720000
146,D. intermedius,intermedius,17.80502010,48.87360000,325.49760000
146,D. kanawha,kanawha,16.12147560,40.93920000,288.69120000
146,D. marmoratus,marmoratus,17.25943276,46.84320000,274.78080000
146,D. mavrokoilius,mavrokoilius,16.63351335,43.07040000,271.98720000
146,D. monticola,monticola,15.11545256,39.62160000,260.10000000
146,D. ochrophaeus,ochrophaeus,12.76372382,51.51600000,269.97840000
146,D. ocoee,ocoee,14.74376370,44.52480000,291.44880000
146,D. orestes,orestes,12.67661933,46.02240000,255.60720000
146,D. perlapsus,perlapsus,14.30980555,41.71680000,292.44240000
146,D. tilleyi,tilleyi,15.97814057,42.55920000,267.82560000
146,D. valtos,valtos,21.28356722,50.78880000,316.56960000
146,D. welteri,welteri,14.39735706,49.24800000,310.47840000
146,D. wrighti,wrighti,12.63327347,44.89200000,247.52160000
147,D. aeneus,aeneus,9.44876974,35.92800000,208.54080000
147,D. amphileucus,amphileucus,16.65791155,45.69120000,319.49280000
147,D. anicetus,anicetus,15.16961249,42.68880000,242.35200000
147,D. apalachicolae,apalachicolae,15.09693321,44.43840000,300.25440000
147,D. auriculatus,auriculatus,18.35118863,48.67920000,312.40080000
147,D. bairdi,bairdi,18.51844065,43.99920000,306.97200000
