species,te_level,composition_mode,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
kanawha,superfamily,classified_conditional,5.094941017050798,-0.2855316132122693,-1.28338374151028,0.4005224115664633,-0.39521701350910776,-0.5362849419687348,0.021471819227152182,-0.10600503869080048,-0.14271553373811885,0.23590973464288503,-0.012771102163306859,0.2872001476885354,0.2514566998218025,0.13046956259188652,-0.24519422634334886,-0.016858940360145083,-0.09645373986294178,0.13165213712925133,-0.029804726031402464,-0.028212087766019838,-0.03383301963480414,-0.016772138550564024,0.012407214309044434,0.03657394871203424,0.017131027273930698,-0.018355421423839908,0.015504392161454196,-0.008062804901515954
lycos,superfamily,classified_conditional,-1.4145692365414935,-0.7630587894623458,3.5898827500930035,-1.2530521507590706,0.38696959661519126,0.48499412876882203,0.3045788338586838,1.0262240837005292,-0.347686641060312,0.05826050812817123,0.0959484088991854,0.0403609583915162,0.05340544461977979,0.0023618733305055747,0.02236679637862583,-0.032747026886271687,0.01882820190031171,0.05279773286514614,-0.06637804694443404,-0.03210873321109301,0.003480304398709605,0.012974861763234546,-0.01642661474744065,0.016529203984176073,-0.0024194323679299695,0.02232155486490816,-0.0029151196277519957,0.0024572421337319753
marmoratus,superfamily,classified_conditional,4.217738886613716,-0.001670849308059228,2.0801126934269565,-0.38974771409457304,0.13470339501925918,-0.3949635881095214,0.17267182820674248,0.1816377589193807,0.27837801450730615,0.06266585943753102,-0.10573725533251212,0.11704517486315875,0.18544465408884858,-0.2024623969602563,0.30695653599022943,0.11087302101523645,-0.08711255118562122,0.06662761068741711,0.07613049262413914,-0.040601185086387256,-0.0014964249818923076,-0.03990539477184633,-0.022417387914773105,-0.01001066406902235,0.0032999838146942928,-0.02232185684057021,-0.015374772059139787,0.010477267310024217
mavrokoilius,superfamily,classified_conditional,2.4736302567496558,-0.16852084439861523,2.0836326470055617,-0.2719584090849086,0.5614052927081156,-0.555264083827416,-0.0007980586507876194,0.4319011052909077,-0.24885412718012886,-0.11431904227482657,0.19510345351958774,0.10642417515710749,-0.006557701706613478,0.024464635668559352,-0.2726197099005362,0.27132990876870244,0.08416907332340326,-0.05450704543850879,0.03803795685527319,0.05789873141014997,-0.023918012716992208,-0.014977673158999274,0.04066128582752085,-0.014011589018937839,0.005143299900338607,0.030596336091920206,-0.0006379881997643438,-0.010197112469272764
monticola,superfamily,classified_conditional,-1.2138798341229298,-1.5503780448536797,-1.297293807495177,-0.4028313539127901,0.3558261469095206,-0.23837543044061085,-0.36593973723373135,-0.026689513197907674,0.8815565017622564,-0.04159152045600003,0.11897272908624011,-0.01862905499177527,0.04544886517211242,-0.17295173180972892,0.0865075879709123,0.057673822312413345,-0.04740584883792215,-0.043548499168530666,-0.008104295092203142,-0.01669594856849679,-0.009674024080043225,0.019319900220771093,0.04765354545818531,0.029836344138306967,-0.006589816219210217,0.016329245523322187,-0.01737103337007238,0.012023129215269863
ocoee,superfamily,classified_conditional,-2.65005285321315,2.4243664176863153,0.8303860644730793,1.5160329048572938,-0.40287610347028835,-0.43542212884396053,0.2814846927994575,0.028063666791382214,-0.22363795305819545,0.25542951439388106,-0.16906646010771564,-0.3390147690995774,0.07784204475893311,-0.09618419818960816,0.15646010975290062,0.12117060995194132,-6.663102218816684e-05,-0.006859841699697609,0.02664601370399218,0.13503392375566217,0.012644131058142823,-0.00046711754287321277,0.050433234590164355,-0.0015525793112776845,0.015495446093230388,-0.014345919228250611,0.028321250586358798,0.006873781496235372
orestes,superfamily,classified_conditional,-2.1973730815650474,1.9818560919005734,0.483960318089533,-0.5225278556207973,-0.3755267812076049,-0.068502832160734,-0.32242094471233124,0.32622243383285093,-0.13560483858204453,-0.12686548488862984,0.50232057953641,0.1422477110658372,-0.03465609072982103,-0.31484802111381416,-0.08564733252504943,-0.11113341976243889,0.039357521640049006,-0.03831390040089203,0.1958298182052624,-0.03445850387615897,-0.0005908505652835661,-0.005186745808721405,-0.03837418531002911,-0.0036684382925228076,0.009945250740775492,-0.011500403244286911,0.01989861041003545,-0.0020356165403835206
organi,superfamily,classified_conditional,-1.1564066508166635,-1.1388667554086662,0.6279053602404419,-0.34782057608129147,1.350895040945458,-0.6214699325507265,-0.7012013927581987,-0.7160298973565691,-0.5538300100638599,0.12362963291178343,-0.2799518776972349,-0.24456217231136024,0.08796483539526287,-0.054940272937129685,-0.0967310324578723,-0.17387019548403843,-0.017031746365877343,-0.014959880313157398,-0.0013823361179971234,-0.09600592495283873,-0.005028771092951077,-0.01768921712225627,0.038512041428310974,-0.022627985708998523,0.008622592144364791,0.012047805281618133,0.004704870177588475,0.006030213787466868
pascagoula,superfamily,classified_conditional,-1.132865994784219,-1.4144813659136504,-1.1856424737227715,-0.28979505674409944,0.36153503904528067,-0.09725804211328938,0.6733712153094037,-0.28346000402703553,0.33601602955520854,-0.34772947091544365,0.033936004123389873,-0.1244347462323731,0.062071866965739686,0.23711154924309089,0.009346944431685466,0.18224297502991707,0.16656293749542408,-0.017684871617326788,0.030751677212116826,-0.061781819449618476,-0.08248417584979335,-0.0045343312035901326,-0.031076896560455543,0.015088453200821687,-0.018965943991769756,-0.008888637300168842,0.019844784325411355,0.010995702783056465
perlapsus,superfamily,classified_conditional,-1.1799730156462223,-1.5439055081237283,-1.2757758004508832,-0.33763255552936783,0.08765373793807828,0.10242092088760689,-0.02242604417993748,-0.35793961856925205,-0.003886406723221867,0.0460385908026228,0.10638358874862881,-0.09384734639277144,-0.16266008268774793,-0.34525442948724155,-0.11524912033468256,0.0744217904004624,-0.00765784232769449,0.06306397271615147,-0.13317655420346503,0.02961691283035863,0.04805393531110222,-0.01653940823479141,-0.056483672728223036,0.024576967640628933,0.03584708286753751,0.014314139790755442,0.017066561889925287,0.005588528488903601
