fit_id,family,phase,tree_id,morphology_estimator,iod_subset,omitted_species,n_species,rank,model,k,q,C,p,CICc,delta_CICc,l,w,global_fit_pass,finite_ranking_row,release_gate_status,winner_claim_allowed_by_ranking_gate,absolute_genome_size_used,publication_claim_allowed,warning_count
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__monticola,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,monticola,17,1,mediated_evenness,1,5,4.167461773576138,0.12446498012421026,19.62200722812159,0,1,0.9972445859547654,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__monticola,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,monticola,17,2,ltr_only,2,4,20.696141689087337,3.6375751325090633e-4,32.02947502242067,12.40746779429908,0.0020218670805848163,0.002016295999633375,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__monticola,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,monticola,17,3,additive_composition,1,5,20.020798173678045,4.4930258260356126e-5,35.4753436282235,15.85333640010191,3.609871484772994e-4,3.5999247941823586e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__monticola,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,monticola,17,4,evenness_only,2,4,24.18825994725418,7.322556586963902e-5,35.52159328058752,15.899586052465928,3.5273516399917683e-4,3.5176323257404536e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__monticola,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,monticola,17,5,proxy_null,3,3,32.7830212998412,1.1543446030159998e-5,40.62917514599505,21.00716791787346,2.743793648449406e-5,2.736233360893243e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__ocoee,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,ocoee,17,1,mediated_evenness,1,5,4.923303288241469,0.08529395929893213,20.377848742786924,0,1,0.9953992983226777,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__ocoee,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,ocoee,17,2,ltr_only,2,4,20.298801514717763,4.3593604784353257e-4,31.632134848051095,11.254286105264171,0.0035988423573667305,0.0035822851572967747,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__ocoee,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,ocoee,17,3,additive_composition,1,5,19.774396667905584,5.0821130560319006e-5,35.22894212245104,14.851093379664114,5.958350506658059e-4,5.930937913488003e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__ocoee,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,ocoee,17,4,evenness_only,2,4,24.697699956147055,5.7863733103791226e-5,36.03103328948039,15.653184546693467,3.9898279059448624e-4,3.9714718980057547e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__ocoee,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,ocoee,17,5,proxy_null,3,3,33.47658500603692,8.488356842417666e-6,41.32273885219077,20.944890109403843,2.830576525792003e-5,2.8175538876220024e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__perlapsus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,perlapsus,17,1,mediated_evenness,1,5,2.6105405837123046,0.2710992492224916,18.065086038257757,0,1,0.9986856311863183,TRUE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__perlapsus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,perlapsus,17,2,ltr_only,2,4,21.299527777499303,2.761744087659279e-4,32.632861110832636,14.567775072574879,6.865115308726761e-4,6.856092015262642e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__perlapsus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,perlapsus,17,3,evenness_only,2,4,22.31635620870851,1.7335378251182032e-4,33.64968954204184,15.584603503784084,4.1290139278844844e-4,4.123586880746416e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__perlapsus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,perlapsus,17,4,additive_composition,1,5,19.705815624996205,5.259403685109465e-5,35.16036107954166,17.0952750412839,1.9400288640371733e-4,1.9374789506006404e-4,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
loo__published_main__te_iod__image_balanced_selected50__image_qc_pass__perlapsus,te_iod,loo,published_main,image_balanced_selected50,image_qc_pass,perlapsus,17,5,proxy_null,3,3,31.606735692146458,1.9408082536309657e-5,39.452889538300305,21.387803500042548,2.2682842641741743e-5,2.265302902076779e-5,FALSE,TRUE,supported_unique_top_model,TRUE,FALSE,FALSE,4
