Specimen,Museum,Species,Clade,State,County,LatDD,LongDD,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
RAP1830,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,23.71,24.35,12.94,3.35,2.31,1.85,5.64,2.49,1.52,0.96,3.91,1.69,1.56,1.16,0.90,0.98,1.64
RAP1831,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,25.92,26.24,14.19,3.10,2.84,2.10,5.87,2.37,1.77,0.87,4.05,1.55,1.57,1.33,0.95,1.19,1.76
RAP1832,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,33.16,19.28,17.58,5.06,3.31,2.42,8.09,3.45,1.63,1.01,5.24,1.75,2.05,2.20,1.48,1.38,2.62
RAP1833,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,33.58,40.11,18.18,4.67,3.11,2.42,7.48,3.40,2.02,1.27,5.09,1.68,2.08,1.88,1.15,1.53,2.63
RAP1834,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,37.38,21.63,20.17,5.32,3.45,2.73,8.86,4.13,2.39,1.21,5.91,2.14,2.11,2.39,1.59,1.55,2.67
RAP1835,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,33.66,25.10,19.62,4.61,2.83,2.43,7.25,3.46,1.98,0.89,4.75,1.93,2.02,1.75,1.06,1.35,2.11
RAP1836,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,39.02,40.02,21.46,5.50,3.51,2.62,8.72,3.82,2.05,1.21,5.78,1.87,2.24,2.60,1.77,1.89,2.88
RAP1837,,campi,conanti A,North Carolina,Transylvania,35.220063,-82.639326,38.01,44.57,20.62,5.36,2.87,2.24,8.73,3.71,2.29,1.23,5.67,2.05,2.16,2.00,1.17,1.46,2.40
RAP1862,,campi,conanti A,North Carolina,Transylvania,35.155209,-82.874841,25.31,28.08,13.42,3.53,2.29,1.64,5.97,2.77,1.45,0.94,4.04,1.55,1.72,1.34,0.81,0.95,1.85
RAP1863,,campi,conanti A,North Carolina,Transylvania,35.155209,-82.874841,31.63,30.55,17.17,4.41,2.47,1.76,6.37,3.26,1.64,1.06,4.47,1.71,1.84,1.42,1.07,1.21,2.01
RAP1864,,campi,conanti A,North Carolina,Transylvania,35.155209,-82.874841,32.36,34.81,18.49,4.54,3.34,2.39,7.11,3.41,2.05,0.59,4.90,1.73,1.87,1.90,1.09,1.22,2.33
RAP1865,,campi,conanti A,North Carolina,Transylvania,35.155209,-82.874841,32.81,34.53,18.63,4.57,2.91,2.27,7.13,3.49,1.98,1.09,4.71,1.78,1.75,1.54,0.94,1.37,2.43
RAP1866,,campi,conanti A,North Carolina,Transylvania,35.155209,-82.874841,34.95,38.10,18.82,5.17,3.09,2.52,8.22,4.04,2.12,1.26,5.51,1.89,1.98,2.25,1.48,1.48,2.58
RAP1867,,campi,conanti A,North Carolina,Transylvania,35.155209,-82.874841,38.29,35.90,22.00,5.82,3.09,2.53,8.30,4.12,2.14,1.49,5.59,2.06,2.17,2.14,1.29,1.71,2.80
RAP1870,,campi,conanti A,North Carolina,Transylvania,35.216597,-82.793598,30.72,17.82,16.73,4.67,3.13,1.81,6.90,3.17,2.37,1.35,4.80,2.02,1.78,1.50,0.96,1.20,2.16
RAP1871,,campi,conanti A,North Carolina,Transylvania,35.216597,-82.793598,32.44,31.21,16.98,4.49,3.12,2.03,8.13,3.20,1.89,1.14,5.03,1.95,1.90,2.00,1.42,1.47,2.27
RAP1872,,campi,conanti A,North Carolina,Transylvania,35.216597,-82.793598,32.64,25.51,17.69,4.25,3.18,2.20,7.65,2.93,2.04,1.01,4.90,2.07,1.73,1.78,1.35,1.35,2.50
RAP1873,,campi,conanti A,North Carolina,Transylvania,35.216597,-82.793598,37.89,38.85,20.18,5.15,3.40,2.53,8.72,3.73,1.81,1.52,5.72,2.01,2.34,2.44,1.64,1.58,2.86
RAP2052,,campi,conanti A,Georgia,Madison,34.189892,-83.135322,31.97,29.03,17.21,4.48,3.20,2.66,7.12,3.26,2.20,1.10,5.08,2.00,1.82,1.61,0.96,1.33,2.25
RAP2053,,campi,conanti A,Georgia,Madison,34.189892,-83.135322,35.42,20.75,19.49,4.75,2.75,2.56,7.67,3.40,2.38,1.24,5.52,1.73,2.26,2.55,1.59,1.52,3.07
RAP2054,,campi,conanti A,Georgia,Madison,34.189892,-83.135322,53.09,43.43,29.05,7.14,4.20,3.51,11.76,5.71,2.96,1.37,7.87,2.47,3.55,3.98,2.39,2.59,4.66
RAP2055,,campi,conanti A,Georgia,Madison,34.189892,-83.135322,38.19,44.47,21.41,5.90,2.89,2.87,8.05,4.42,2.37,1.50,5.84,2.14,1.79,2.15,1.50,1.52,2.45
RAP2056,,campi,conanti A,Georgia,Madison,34.189892,-83.135322,39.34,43.55,21.88,5.55,3.28,2.89,8.46,4.29,2.36,1.47,5.95,1.98,2.61,2.29,1.11,2.15,3.22
RAP2621,,campi,conanti A,North Carolina,Transylvania,35.091737,-82.810883,37.52,5.28,20.27,5.34,3.59,2.87,8.76,3.59,2.62,1.43,5.80,2.06,2.15,2.37,1.47,1.53,2.81
RAP2622,,campi,conanti A,North Carolina,Transylvania,35.091737,-82.810883,38.49,39.14,20.52,5.70,3.76,2.86,8.89,4.74,2.62,1.32,5.98,2.13,2.23,2.69,1.66,1.61,3.10
RAP2623,,campi,conanti A,North Carolina,Transylvania,35.091737,-82.810883,36.72,29.12,19.83,5.07,3.19,2.69,8.14,3.86,2.15,1.33,5.35,1.96,2.10,2.12,1.37,1.39,2.73
RAP2746,,campi,conanti A,Georgia,Clarke,33.891004,-83.366464,37.43,6.43,20.81,5.35,3.16,2.80,8.18,4.14,2.69,1.67,5.52,2.03,2.30,2.26,1.30,1.38,2.70
RAP2747,GSU 27119,campi,conanti A,Georgia,Clarke,33.891004,-83.366464,36.80,23.62,20.09,4.92,3.21,2.77,8.46,3.95,2.43,1.32,5.88,2.14,1.99,2.45,1.45,1.42,2.93
RAP2748,,campi,conanti A,Georgia,Clarke,33.891004,-83.366464,44.17,38.66,23.99,6.24,4.11,3.02,9.56,4.84,2.80,1.59,6.92,2.26,2.53,2.62,1.70,1.62,3.14
RAP2749,AMNH A-193892,campi,conanti A,Georgia,Clarke,33.891004,-83.366464,40.88,47.87,22.56,5.54,3.53,3.02,9.12,4.44,2.69,1.58,5.93,2.18,2.27,2.28,1.33,1.47,2.68
RAP2751,,campi,conanti A,Georgia,Burke,33.086003,-81.763556,23.60,16.46,12.70,3.38,1.81,2.04,5.64,2.31,1.50,0.76,3.80,1.58,1.41,1.36,0.84,0.89,1.76
