species,display_species,rank,superfamily,classified_conditional_proportion,top10_renormalized_proportion,shannon_component,gini_simpson_squared_component
lycos,D. lycos,3,L2,0.09589862319687067,0.09733936769237203,0.22675709634363597,0.0094749525027508
lycos,D. lycos,4,DIRS,0.07516589712731714,0.07629516102001437,0.19631857032736794,0.005820951595069919
lycos,D. lycos,5,L1,0.0557562698166574,0.05659393083983107,0.16252947997409273,0.0032028730079035825
lycos,D. lycos,6,PIF-Harbinger,0.04902893854627006,0.04976553069927521,0.14931812510719172,0.0024766080457805035
lycos,D. lycos,7,Mutator,0.02413797281114771,0.0245006125477874,0.09087417238969715,6.002800152167974e-4
lycos,D. lycos,8,Tc1-mariner,0.01418115783639762,0.014394210166155075,0.061044826565122966,2.071932863074421e-4
lycos,D. lycos,9,CACTA,0.00952111554873169,0.009664157172902945,0.0448352275771544,9.339593386257144e-5
lycos,D. lycos,10,Copia,0.00734282775595998,0.007453143611580722,0.036513840266974844,5.5549349694846525e-5
marmoratus,D. marmoratus,1,Gypsy,0.5393073943701492,0.5496352257141714,0.32895692814578575,0.3020988813458682
marmoratus,D. marmoratus,2,hAT,0.1133820807036394,0.11555336746730244,0.2493668015813265,0.013352580733033428
marmoratus,D. marmoratus,3,L2,0.09689307759447864,0.09874859705192597,0.22862058755949777,0.009751285419723643
marmoratus,D. marmoratus,4,DIRS,0.0731448752838874,0.07454561249516518,0.19354606063754679,0.0055570483422793275
marmoratus,D. marmoratus,5,L1,0.05043216173370184,0.051397946490479414,0.15255717768694346,0.002641748903438185
marmoratus,D. marmoratus,6,PIF-Harbinger,0.05002405272576917,0.05098202212335104,0.15173688577066138,0.0025991665797858547
marmoratus,D. marmoratus,7,Mutator,0.02272290822126264,0.023158055905504897,0.08719963484282599,5.362955533224903e-4
marmoratus,D. marmoratus,8,Tc1-mariner,0.01546232867715819,0.0157584349876419,0.0654034855610023,2.4832827325973637e-4
marmoratus,D. marmoratus,9,Copia,0.00992679928196,0.010116899232081727,0.04647246286163398,1.0235165007209584e-4
marmoratus,D. marmoratus,10,CACTA,0.00991398399720859,0.010103838532376026,0.04642552017534566,1.0208755308832652e-4
mavrokoilius,D. mavrokoilius,1,Gypsy,0.5551846304344138,0.5646981533599549,0.32270462735758204,0.31888400440814313
mavrokoilius,D. mavrokoilius,2,hAT,0.10340108278321906,0.10517294122031991,0.23686515800751703,0.011061347564932867
mavrokoilius,D. mavrokoilius,3,L2,0.09992279405066098,0.10163504928950154,0.23237500546149092,0.010329683244079407
mavrokoilius,D. mavrokoilius,4,DIRS,0.08193397749112707,0.08333798028679648,0.20708245431153605,0.006945218958282479
mavrokoilius,D. mavrokoilius,5,PIF-Harbinger,0.04776306813291205,0.04858152566715807,0.14693540496107674,0.0023601646361487384
mavrokoilius,D. mavrokoilius,6,L1,0.03962121687141368,0.04030015741547933,0.12941992165307215,0.0016241026877124134
mavrokoilius,D. mavrokoilius,7,Mutator,0.02341661645636981,0.023817878496570678,0.08901500467590481,5.672913360774039e-4
