species,estimator,estimator_label,metric,metric_label,estimate,n_pairs,n_images,n_specimens,estimand
gvnigeusgwotli,composite_selected50,Frozen composite top 50,nuc_area_um2,Nucleus area (um2),41.2272,50,1,1,median among frozen composite top 50
gvnigeusgwotli,composite_selected50,Frozen composite top 50,nc_area_ratio,Nucleus/cell area ratio,0.161044,50,1,1,median among frozen composite top 50
gvnigeusgwotli,image_balanced_selected50,Equal-image frozen top 50,cell_area_um2,Cell area (um2),252.6768,50,1,1,equal-image median of within-image medians among frozen composite top-50 rows
gvnigeusgwotli,image_balanced_selected50,Equal-image frozen top 50,nuc_area_um2,Nucleus area (um2),41.2272,50,1,1,equal-image median of within-image medians among frozen composite top-50 rows
gvnigeusgwotli,image_balanced_selected50,Equal-image frozen top 50,nc_area_ratio,Nucleus/cell area ratio,0.161044,50,1,1,equal-image median of within-image medians among frozen composite top-50 rows
gvnigeusgwotli,literal_largest50_eligible,Literal largest 50,cell_area_um2,Cell area (um2),262.8936,50,1,1,median among literal largest 50
gvnigeusgwotli,literal_largest50_eligible,Literal largest 50,nuc_area_um2,Nucleus area (um2),42.7392,50,1,1,median among literal largest 50
gvnigeusgwotli,literal_largest50_eligible,Literal largest 50,nc_area_ratio,Nucleus/cell area ratio,0.1634635,50,1,1,median among literal largest 50
gvnigeusgwotli,literal_largest100_eligible,Literal largest 100,cell_area_um2,Cell area (um2),249.9336,100,1,1,median among literal largest 100
gvnigeusgwotli,literal_largest100_eligible,Literal largest 100,nuc_area_um2,Nucleus area (um2),42.0696,100,1,1,median among literal largest 100
gvnigeusgwotli,literal_largest100_eligible,Literal largest 100,nc_area_ratio,Nucleus/cell area ratio,0.1669835,100,1,1,median among literal largest 100
gvnigeusgwotli,eligible_candidate_pool,All eligible candidates,cell_area_um2,Cell area (um2),237.8592,159,1,1,median among all eligible candidates
gvnigeusgwotli,eligible_candidate_pool,All eligible candidates,nuc_area_um2,Nucleus area (um2),41.904,159,1,1,median among all eligible candidates
gvnigeusgwotli,eligible_candidate_pool,All eligible candidates,nc_area_ratio,Nucleus/cell area ratio,0.173559,159,1,1,median among all eligible candidates
gvnigeusgwotli,manual_keep_pool,Manual keeps,cell_area_um2,Cell area (um2),265.644,44,1,1,median among manual keeps
gvnigeusgwotli,manual_keep_pool,Manual keeps,nuc_area_um2,Nucleus area (um2),43.4592,44,1,1,median among manual keeps
gvnigeusgwotli,manual_keep_pool,Manual keeps,nc_area_ratio,Nucleus/cell area ratio,0.164453,44,1,1,median among manual keeps
intermedius,composite_selected50,Frozen composite top 50,cell_area_um2,Cell area (um2),274.572,50,2,2,median among frozen composite top 50
